Jurisdiction,Category,Type,Management,Fate,y,ds,Sub_stream_name,Sub_stream_index
Australia,Organic processing,Horticulture food processing,Landfill,Disposal,26880,2021-12-31,C&I (organic processing),6
Australia,Organic processing,Horticulture food processing,Other disposal,Disposal,25513,2021-12-31,C&I (organic processing),6
Australia,Organic processing,Horticulture food processing,Recycling,Recycling,644272,2021-12-31,C&I (organic processing),6
Australia,Organic processing,Horticulture food processing,Unknown,Unknown,22106,2021-12-31,C&I (organic processing),6
Australia,Organic processing,Horticulture food processing,Waste reuse,Waste reuse,717132,2021-12-31,C&I (organic processing),6
Australia,Organic processing,Horticulture food processing,Anaerobic digestion,Recycling,16128,2021-12-31,Total,9
Australia,Organic processing,Horticulture food processing,Energy from waste facility,Energy recovery,25704,2021-12-31,Total,9
Australia,Organic processing,Horticulture food processing,Landfill,Disposal,26880,2021-12-31,Total,9
Australia,Organic processing,Horticulture food processing,Other disposal,Disposal,25513,2021-12-31,Total,9
Australia,Organic processing,Horticulture food processing,Recycling,Recycling,644272,2021-12-31,Total,9
Australia,Organic processing,Horticulture food processing,Unknown,Unknown,22106,2021-12-31,Total,9
Australia,Organic processing,Horticulture food processing,Waste reuse,Waste reuse,717132,2021-12-31,Total,9
Australia,Organic processing,Livestock food processing,Anaerobic digestion,Recycling,0,2021-12-31,C&I (organic processing),6
Australia,Organic processing,Livestock food processing,Energy from waste facility,Energy recovery,0,2021-12-31,C&I (organic processing),6
Australia,Organic processing,Livestock food processing,Landfill,Disposal,37870,2021-12-31,C&I (organic processing),6
Australia,Organic processing,Livestock food processing,Other disposal,Disposal,347505,2021-12-31,C&I (organic processing),6
Australia,Organic processing,Livestock food processing,Recycling,Recycling,2566127,2021-12-31,C&I (organic processing),6
Australia,Organic processing,Livestock food processing,Unknown,Unknown,0,2021-12-31,C&I (organic processing),6
Australia,Organic processing,Livestock food processing,Waste reuse,Waste reuse,3820320,2021-12-31,C&I (organic processing),6
Australia,Organic processing,Livestock food processing,Anaerobic digestion,Recycling,0,2021-12-31,Total,9
Australia,Organic processing,Livestock food processing,Energy from waste facility,Energy recovery,0,2021-12-31,Total,9
Australia,Organic processing,Livestock food processing,Landfill,Disposal,37870,2021-12-31,Total,9
Australia,Organic processing,Livestock food processing,Other disposal,Disposal,347505,2021-12-31,Total,9
Australia,Organic processing,Livestock food processing,Recycling,Recycling,2566127,2021-12-31,Total,9
Australia,Organic processing,Livestock food processing,Unknown,Unknown,0,2021-12-31,Total,9
Australia,Organic processing,Livestock food processing,Waste reuse,Waste reuse,3820320,2021-12-31,Total,9
Australia,Organic processing,Sugarcane bagasse (available),Unknown,Unknown,10254554,2021-12-31,C&I (organic processing),6
Australia,Organic processing,Sugarcane bagasse (available),Unknown,Unknown,10254554,2021-12-31,Total,9
Australia,Organic processing,Sugarcane mill mud,Unknown,Unknown,2020000,2021-12-31,C&I (organic processing),6
Australia,Organic processing,Sugarcane mill mud,Unknown,Unknown,2020000,2021-12-31,Total,9
Australia,Mineral processing,CSG brines,Other disposal,Disposal,2385750,2019-12-31,C&I (mineral processing),7
Australia,Mineral processing,CSG brines,Other disposal,Disposal,2385750,2019-12-31,Total,9
Australia,Mineral processing,Red mud,Other disposal,Long-term storage,25764086,2019-12-31,C&I (mineral processing),7
Australia,Mineral processing,Red mud,Other disposal,Long-term storage,25764086,2019-12-31,Total,9
Australia,Mining,Bauxite mining,Landfill,Disposal,0,2019-12-31,C&I (mining),8
Australia,Mining,Bauxite mining,Other disposal,Disposal,0,2019-12-31,C&I (mining),8
Australia,Mining,Bauxite mining,Recycling,Recycling,0,2019-12-31,C&I (mining),8
Australia,Mining,Bauxite mining,Unknown,Unknown,0,2019-12-31,C&I (mining),8
Australia,Mining,Coal mining,Landfill,Disposal,2878,2019-12-31,C&I (mining),8
Australia,Mining,Coal mining,Other disposal,Disposal,32250076,2019-12-31,C&I (mining),8
Australia,Mining,Coal mining,Recycling,Recycling,61,2019-12-31,C&I (mining),8
Australia,Mining,Coal mining,Unknown,Unknown,392,2019-12-31,C&I (mining),8
Australia,Mining,Copper ore mining,Landfill,Disposal,18,2019-12-31,C&I (mining),8
Australia,Mining,Copper ore mining,Other disposal,Disposal,49116927,2019-12-31,C&I (mining),8
Australia,Mining,Copper ore mining,Recycling,Recycling,0,2019-12-31,C&I (mining),8
Australia,Mining,Copper ore mining,Unknown,Unknown,0,2019-12-31,C&I (mining),8
Australia,Mining,Gold ore mining,Landfill,Disposal,125,2019-12-31,C&I (mining),8
Australia,Mining,Gold ore mining,Other disposal,Disposal,188738348,2019-12-31,C&I (mining),8
Australia,Mining,Gold ore mining,Recycling,Recycling,1,2019-12-31,C&I (mining),8
Australia,Mining,Gold ore mining,Unknown,Unknown,0,2019-12-31,C&I (mining),8
Australia,Mining,Iron ore mining,Landfill,Disposal,344,2019-12-31,C&I (mining),8
Australia,Mining,Iron ore mining,Other disposal,Disposal,89542381,2019-12-31,C&I (mining),8
Australia,Mining,Iron ore mining,Recycling,Recycling,0,2019-12-31,C&I (mining),8
Australia,Mining,Iron ore mining,Unknown,Unknown,1,2019-12-31,C&I (mining),8
Australia,Mining,Mineral sand mining,Landfill,Disposal,518,2019-12-31,C&I (mining),8
Australia,Mining,Mineral sand mining,Other disposal,Disposal,49499,2019-12-31,C&I (mining),8
Australia,Mining,Mineral sand mining,Recycling,Recycling,0,2019-12-31,C&I (mining),8
Australia,Mining,Mineral sand mining,Unknown,Unknown,10942,2019-12-31,C&I (mining),8
