Jurisdiction,Category,Type,Management,Fate,y,ds,Sub_stream_name,Sub_stream_index
ACT,Hazardous wastes,"Food-derived hazardous wastes (K100, K110)",Treatment,Recycling,711,2013-12-31,C&I core,3
ACT,Hazardous wastes,"Food-derived hazardous wastes (K100, K110)",Landfill,Disposal,120,2013-12-31,Total,9
ACT,Hazardous wastes,"Food-derived hazardous wastes (K100, K110)",Other disposal,Disposal,59,2013-12-31,Total,9
ACT,Hazardous wastes,"Food-derived hazardous wastes (K100, K110)",Recycling,Recycling,3683,2013-12-31,Total,9
ACT,Hazardous wastes,"Food-derived hazardous wastes (K100, K110)",Treatment,Disposal,711,2013-12-31,Total,9
ACT,Hazardous wastes,"Food-derived hazardous wastes (K100, K110)",Treatment,Energy recovery,0,2013-12-31,Total,9
ACT,Hazardous wastes,"Food-derived hazardous wastes (K100, K110)",Treatment,Recycling,711,2013-12-31,Total,9
ACT,Hazardous wastes,Inorganic chemicals (D),Landfill,Disposal,0,2013-12-31,C&D,2
ACT,Hazardous wastes,Inorganic chemicals (D),Other disposal,Disposal,0,2013-12-31,C&D,2
ACT,Hazardous wastes,Inorganic chemicals (D),Recycling,Recycling,0,2013-12-31,C&D,2
ACT,Hazardous wastes,Inorganic chemicals (D),Treatment,Disposal,0,2013-12-31,C&D,2
ACT,Hazardous wastes,Inorganic chemicals (D),Treatment,Energy recovery,0,2013-12-31,C&D,2
ACT,Hazardous wastes,Inorganic chemicals (D),Treatment,Recycling,0,2013-12-31,C&D,2
ACT,Hazardous wastes,Inorganic chemicals (D),Landfill,Disposal,57,2013-12-31,C&I core,3
ACT,Hazardous wastes,Inorganic chemicals (D),Other disposal,Disposal,0,2013-12-31,C&I core,3
ACT,Hazardous wastes,Inorganic chemicals (D),Recycling,Recycling,233,2013-12-31,C&I core,3
ACT,Hazardous wastes,Inorganic chemicals (D),Treatment,Disposal,3,2013-12-31,C&I core,3
ACT,Hazardous wastes,Inorganic chemicals (D),Treatment,Energy recovery,0,2013-12-31,C&I core,3
ACT,Hazardous wastes,Inorganic chemicals (D),Treatment,Recycling,24,2013-12-31,C&I core,3
ACT,Hazardous wastes,Inorganic chemicals (D),Landfill,Disposal,57,2013-12-31,Total,9
ACT,Hazardous wastes,Inorganic chemicals (D),Other disposal,Disposal,0,2013-12-31,Total,9
ACT,Hazardous wastes,Inorganic chemicals (D),Recycling,Recycling,233,2013-12-31,Total,9
ACT,Hazardous wastes,Inorganic chemicals (D),Treatment,Disposal,3,2013-12-31,Total,9
ACT,Hazardous wastes,Inorganic chemicals (D),Treatment,Energy recovery,0,2013-12-31,Total,9
ACT,Hazardous wastes,Inorganic chemicals (D),Treatment,Recycling,24,2013-12-31,Total,9
ACT,Hazardous wastes,Oils (J),Landfill,Disposal,0,2013-12-31,C&D,2
ACT,Hazardous wastes,Oils (J),Other disposal,Disposal,0,2013-12-31,C&D,2
ACT,Hazardous wastes,Oils (J),Recycling,Recycling,0,2013-12-31,C&D,2
ACT,Hazardous wastes,Oils (J),Treatment,Disposal,0,2013-12-31,C&D,2
ACT,Hazardous wastes,Oils (J),Treatment,Energy recovery,0,2013-12-31,C&D,2
ACT,Hazardous wastes,Oils (J),Treatment,Recycling,0,2013-12-31,C&D,2
ACT,Hazardous wastes,Oils (J),Landfill,Disposal,65,2013-12-31,C&I core,3
ACT,Hazardous wastes,Oils (J),Other disposal,Disposal,7,2013-12-31,C&I core,3
ACT,Hazardous wastes,Oils (J),Recycling,Recycling,535,2013-12-31,C&I core,3
ACT,Hazardous wastes,Oils (J),Treatment,Disposal,0,2013-12-31,C&I core,3
ACT,Hazardous wastes,Oils (J),Treatment,Energy recovery,143,2013-12-31,C&I core,3
ACT,Hazardous wastes,Oils (J),Treatment,Recycling,571,2013-12-31,C&I core,3
ACT,Hazardous wastes,Oils (J),Landfill,Disposal,65,2013-12-31,Total,9
ACT,Hazardous wastes,Oils (J),Other disposal,Disposal,7,2013-12-31,Total,9
ACT,Hazardous wastes,Oils (J),Recycling,Recycling,535,2013-12-31,Total,9
ACT,Hazardous wastes,Oils (J),Treatment,Disposal,0,2013-12-31,Total,9
ACT,Hazardous wastes,Oils (J),Treatment,Energy recovery,143,2013-12-31,Total,9
ACT,Hazardous wastes,Oils (J),Treatment,Recycling,571,2013-12-31,Total,9
ACT,Hazardous wastes,Organic chemicals (M),Landfill,Disposal,0,2013-12-31,C&D,2
ACT,Hazardous wastes,Organic chemicals (M),Other disposal,Disposal,0,2013-12-31,C&D,2
ACT,Hazardous wastes,Organic chemicals (M),Recycling,Recycling,0,2013-12-31,C&D,2
ACT,Hazardous wastes,Organic chemicals (M),Treatment,Disposal,0,2013-12-31,C&D,2
ACT,Hazardous wastes,Organic chemicals (M),Treatment,Energy recovery,0,2013-12-31,C&D,2
ACT,Hazardous wastes,Organic chemicals (M),Treatment,Recycling,0,2013-12-31,C&D,2
ACT,Hazardous wastes,Organic chemicals (M),Landfill,Disposal,3,2013-12-31,C&I core,3
ACT,Hazardous wastes,Organic chemicals (M),Other disposal,Disposal,0,2013-12-31,C&I core,3
ACT,Hazardous wastes,Organic chemicals (M),Recycling,Recycling,2,2013-12-31,C&I core,3
ACT,Hazardous wastes,Organic chemicals (M),Treatment,Disposal,20,2013-12-31,C&I core,3
ACT,Hazardous wastes,Organic chemicals (M),Treatment,Energy recovery,1,2013-12-31,C&I core,3
ACT,Hazardous wastes,Organic chemicals (M),Treatment,Recycling,1,2013-12-31,C&I core,3
ACT,Hazardous wastes,Organic chemicals (M),Landfill,Disposal,3,2013-12-31,Total,9
ACT,Hazardous wastes,Organic chemicals (M),Other disposal,Disposal,0,2013-12-31,Total,9
ACT,Hazardous wastes,Organic chemicals (M),Recycling,Recycling,2,2013-12-31,Total,9
ACT,Hazardous wastes,Organic chemicals (M),Treatment,Disposal,20,2013-12-31,Total,9
ACT,Hazardous wastes,Organic chemicals (M),Treatment,Energy recovery,1,2013-12-31,Total,9
ACT,Hazardous wastes,Organic chemicals (M),Treatment,Recycling,1,2013-12-31,Total,9
ACT,Hazardous wastes,Organic solvents (G),Landfill,Disposal,0,2013-12-31,C&D,2
ACT,Hazardous wastes,Organic solvents (G),Other disposal,Disposal,0,2013-12-31,C&D,2
ACT,Hazardous wastes,Organic solvents (G),Recycling,Recycling,0,2013-12-31,C&D,2
ACT,Hazardous wastes,Organic solvents (G),Treatment,Disposal,0,2013-12-31,C&D,2
ACT,Hazardous wastes,Organic solvents (G),Treatment,Energy recovery,0,2013-12-31,C&D,2
ACT,Hazardous wastes,Organic solvents (G),Treatment,Recycling,0,2013-12-31,C&D,2
ACT,Hazardous wastes,Organic solvents (G),Landfill,Disposal,0,2013-12-31,C&I core,3
ACT,Hazardous wastes,Organic solvents (G),Other disposal,Disposal,0,2013-12-31,C&I core,3
ACT,Hazardous wastes,Organic solvents (G),Recycling,Recycling,17,2013-12-31,C&I core,3
ACT,Hazardous wastes,Organic solvents (G),Treatment,Disposal,3,2013-12-31,C&I core,3
ACT,Hazardous wastes,Organic solvents (G),Treatment,Energy recovery,0,2013-12-31,C&I core,3
ACT,Hazardous wastes,Organic solvents (G),Treatment,Recycling,0,2013-12-31,C&I core,3
ACT,Hazardous wastes,Organic solvents (G),Landfill,Disposal,0,2013-12-31,Total,9
ACT,Hazardous wastes,Organic solvents (G),Other disposal,Disposal,0,2013-12-31,Total,9
ACT,Hazardous wastes,Organic solvents (G),Recycling,Recycling,17,2013-12-31,Total,9
ACT,Hazardous wastes,Organic solvents (G),Treatment,Disposal,3,2013-12-31,Total,9
ACT,Hazardous wastes,Organic solvents (G),Treatment,Energy recovery,0,2013-12-31,Total,9
ACT,Hazardous wastes,Organic solvents (G),Treatment,Recycling,0,2013-12-31,Total,9
ACT,Hazardous wastes,Other,Landfill,Disposal,0,2013-12-31,C&D,2
ACT,Hazardous wastes,Other,Other disposal,Disposal,0,2013-12-31,C&D,2
ACT,Hazardous wastes,Other,Recycling,Recycling,0,2013-12-31,C&D,2
ACT,Hazardous wastes,Other,Treatment,Disposal,0,2013-12-31,C&D,2
ACT,Hazardous wastes,Other,Treatment,Energy recovery,0,2013-12-31,C&D,2
ACT,Hazardous wastes,Other,Treatment,Recycling,0,2013-12-31,C&D,2
ACT,Hazardous wastes,Other,Landfill,Disposal,0,2013-12-31,C&I core,3
ACT,Hazardous wastes,Other,Other disposal,Disposal,0,2013-12-31,C&I core,3
ACT,Hazardous wastes,Other,Recycling,Recycling,0,2013-12-31,C&I core,3
ACT,Hazardous wastes,Other,Treatment,Disposal,0,2013-12-31,C&I core,3
ACT,Hazardous wastes,Other,Treatment,Energy recovery,0,2013-12-31,C&I core,3
ACT,Hazardous wastes,Other,Treatment,Recycling,0,2013-12-31,C&I core,3
ACT,Hazardous wastes,Other,Landfill,Disposal,0,2013-12-31,Total,9
ACT,Hazardous wastes,Other,Other disposal,Disposal,0,2013-12-31,Total,9
ACT,Hazardous wastes,Other,Recycling,Recycling,0,2013-12-31,Total,9
ACT,Hazardous wastes,Other,Treatment,Disposal,0,2013-12-31,Total,9
ACT,Hazardous wastes,Other,Treatment,Energy recovery,0,2013-12-31,Total,9
ACT,Hazardous wastes,Other,Treatment,Recycling,0,2013-12-31,Total,9
ACT,Hazardous wastes,"Other hazardous organic wastes (K140, K190)",Landfill,Disposal,0,2013-12-31,C&D,2
ACT,Hazardous wastes,"Other hazardous organic wastes (K140, K190)",Other disposal,Disposal,0,2013-12-31,C&D,2
ACT,Hazardous wastes,"Other hazardous organic wastes (K140, K190)",Recycling,Recycling,0,2013-12-31,C&D,2
ACT,Hazardous wastes,"Other hazardous organic wastes (K140, K190)",Treatment,Disposal,0,2013-12-31,C&D,2
ACT,Hazardous wastes,"Other hazardous organic wastes (K140, K190)",Treatment,Energy recovery,0,2013-12-31,C&D,2
ACT,Hazardous wastes,"Other hazardous organic wastes (K140, K190)",Treatment,Recycling,0,2013-12-31,C&D,2
ACT,Hazardous wastes,"Other hazardous organic wastes (K140, K190)",Landfill,Disposal,0,2013-12-31,C&I core,3
