Jurisdiction,Category,Type,Total type,Management,Fate,y,ds,Sub-stream
NT,Hazardous wastes,,Hazwaste total,Landfill,Disposal,27601,2021-12-31,02 C&D
NT,Hazardous wastes,,Hazwaste total,Other disposal,Disposal,0,2021-12-31,02 C&D
NT,Hazardous wastes,,Hazwaste total,Recycling,Recycling,978,2021-12-31,02 C&D
NT,Hazardous wastes,,Hazwaste total,Treatment,Disposal,450,2021-12-31,02 C&D
NT,Hazardous wastes,,Hazwaste total,Treatment,Energy recovery,0,2021-12-31,02 C&D
NT,Hazardous wastes,,Hazwaste total,Treatment,Recycling,1751,2021-12-31,02 C&D
NT,Hazardous wastes,,Hazwaste total,Energy from waste facility,Energy recovery,1069,2021-12-31,03 C&I core
NT,Hazardous wastes,,Hazwaste total,Landfill,Disposal,23373,2021-12-31,03 C&I core
NT,Hazardous wastes,,Hazwaste total,Other disposal,Disposal,2279,2021-12-31,03 C&I core
NT,Hazardous wastes,,Hazwaste total,Recycling,Recycling,21433,2021-12-31,03 C&I core
NT,Hazardous wastes,,Hazwaste total,Treatment,Disposal,5039,2021-12-31,03 C&I core
NT,Hazardous wastes,,Hazwaste total,Treatment,Energy recovery,1306,2021-12-31,03 C&I core
NT,Hazardous wastes,,Hazwaste total,Treatment,Recycling,7827,2021-12-31,03 C&I core
NT,Hazardous wastes,,Hazwaste total,Energy from waste facility,Energy recovery,1069,2021-12-31,09 Total
NT,Hazardous wastes,,Hazwaste total,Landfill,Disposal,50974,2021-12-31,09 Total
NT,Hazardous wastes,,Hazwaste total,Other disposal,Disposal,2279,2021-12-31,09 Total
NT,Hazardous wastes,,Hazwaste total,Recycling,Recycling,22411,2021-12-31,09 Total
NT,Hazardous wastes,,Hazwaste total,Treatment,Disposal,5489,2021-12-31,09 Total
NT,Hazardous wastes,,Hazwaste total,Treatment,Energy recovery,1306,2021-12-31,09 Total
NT,Hazardous wastes,,Hazwaste total,Treatment,Recycling,9578,2021-12-31,09 Total
NT,Mining,,Mining waste total,Landfill,Disposal,5,2021-12-31,08 C&I (mining)
NT,Mining,,Mining waste total,Other disposal,Disposal,35334439,2021-12-31,08 C&I (mining)
NT,Mining,,Mining waste total,Recycling,Recycling,0,2021-12-31,08 C&I (mining)
NT,Mining,,Mining waste total,Unknown,Unknown,1,2021-12-31,08 C&I (mining)
NT,Mining,,Mining waste total,Landfill,Disposal,5,2021-12-31,09 Total
NT,Mining,,Mining waste total,Other disposal,Disposal,35334439,2021-12-31,09 Total
NT,Mining,,Mining waste total,Recycling,Recycling,0,2021-12-31,09 Total
NT,Mining,,Mining waste total,Unknown,Unknown,1,2021-12-31,09 Total
NT,Total,,All other waste total,Energy from waste facility,Energy recovery,0,2021-12-31,02 C&D
NT,Total,,All other waste total,Landfill,Disposal,63985,2021-12-31,02 C&D
NT,Total,,All other waste total,Landfill,Energy recovery,50,2021-12-31,02 C&D
NT,Total,,All other waste total,Recycling,Recycling,0,2021-12-31,02 C&D
NT,Total,,All other waste total,Energy from waste facility,Energy recovery,0,2021-12-31,03 C&I core
NT,Total,,All other waste total,Landfill,Disposal,129356,2021-12-31,03 C&I core
NT,Total,,All other waste total,Landfill,Energy recovery,1113,2021-12-31,03 C&I core
NT,Total,,All other waste total,Recycling,Recycling,101,2021-12-31,03 C&I core
NT,Total,,All other waste total,Energy from waste facility,Energy recovery,0,2021-12-31,01 MSW
NT,Total,,All other waste total,Landfill,Disposal,112282,2021-12-31,01 MSW
NT,Total,,All other waste total,Landfill,Energy recovery,1355,2021-12-31,01 MSW
NT,Total,,All other waste total,Recycling,Recycling,35603,2021-12-31,01 MSW
NT,Total,,All other waste total,Waste reuse,Waste reuse,330,2021-12-31,01 MSW
NT,Total,,All other waste total,Energy from waste facility,Energy recovery,0,2021-12-31,09 Total
NT,Total,,All other waste total,Landfill,Disposal,305623,2021-12-31,09 Total
NT,Total,,All other waste total,Landfill,Energy recovery,2518,2021-12-31,09 Total
NT,Total,,All other waste total,Recycling,Recycling,35704,2021-12-31,09 Total
NT,Total,,All other waste total,Waste reuse,Waste reuse,330,2021-12-31,09 Total
Qld,Ash,,Ash waste total,Other disposal,Long-term storage,3625032,2021-12-31,04 C&I (electricity generation)
Qld,Ash,,Ash waste total,Recycling,Recycling,5953,2021-12-31,04 C&I (electricity generation)
Qld,Ash,,Ash waste total,Waste reuse,Waste reuse,861000,2021-12-31,04 C&I (electricity generation)
Qld,Ash,,Ash waste total,Other disposal,Long-term storage,3625032,2021-12-31,09 Total
Qld,Ash,,Ash waste total,Recycling,Recycling,5953,2021-12-31,09 Total
Qld,Ash,,Ash waste total,Waste reuse,Waste reuse,861000,2021-12-31,09 Total
Qld,Biosolids,,Biosolids total,Other disposal,Disposal,0,2021-12-31,03 C&I core
Qld,Biosolids,,Biosolids total,Recycling,Recycling,299143,2021-12-31,03 C&I core
Qld,Biosolids,,Biosolids total,Other disposal,Disposal,0,2021-12-31,09 Total
Qld,Biosolids,,Biosolids total,Recycling,Recycling,299143,2021-12-31,09 Total
Qld,Hazardous wastes,,Hazwaste total,Energy from waste facility,Energy recovery,0,2021-12-31,02 C&D
Qld,Hazardous wastes,,Hazwaste total,Landfill,Disposal,442156,2021-12-31,02 C&D
Qld,Hazardous wastes,,Hazwaste total,Other disposal,Disposal,0,2021-12-31,02 C&D
Qld,Hazardous wastes,,Hazwaste total,Recycling,Recycling,134389,2021-12-31,02 C&D
Qld,Hazardous wastes,,Hazwaste total,Treatment,Disposal,0,2021-12-31,02 C&D
Qld,Hazardous wastes,,Hazwaste total,Treatment,Energy recovery,0,2021-12-31,02 C&D
Qld,Hazardous wastes,,Hazwaste total,Treatment,Recycling,0,2021-12-31,02 C&D
Qld,Hazardous wastes,,Hazwaste total,Energy from waste facility,Energy recovery,29145,2021-12-31,03 C&I core
Qld,Hazardous wastes,,Hazwaste total,Landfill,Disposal,413622,2021-12-31,03 C&I core
Qld,Hazardous wastes,,Hazwaste total,Other disposal,Disposal,14343,2021-12-31,03 C&I core
Qld,Hazardous wastes,,Hazwaste total,Recycling,Recycling,472487,2021-12-31,03 C&I core
Qld,Hazardous wastes,,Hazwaste total,Treatment,Disposal,82722,2021-12-31,03 C&I core
Qld,Hazardous wastes,,Hazwaste total,Treatment,Energy recovery,8977,2021-12-31,03 C&I core
Qld,Hazardous wastes,,Hazwaste total,Treatment,Recycling,92260,2021-12-31,03 C&I core
Qld,Hazardous wastes,,Hazwaste total,Energy from waste facility,Energy recovery,29145,2021-12-31,09 Total
Qld,Hazardous wastes,,Hazwaste total,Landfill,Disposal,855778,2021-12-31,09 Total
Qld,Hazardous wastes,,Hazwaste total,Other disposal,Disposal,14343,2021-12-31,09 Total
Qld,Hazardous wastes,,Hazwaste total,Recycling,Recycling,606876,2021-12-31,09 Total
Qld,Hazardous wastes,,Hazwaste total,Treatment,Disposal,82722,2021-12-31,09 Total
Qld,Hazardous wastes,,Hazwaste total,Treatment,Energy recovery,8977,2021-12-31,09 Total
Qld,Hazardous wastes,,Hazwaste total,Treatment,Recycling,92260,2021-12-31,09 Total
Qld,Mining,,Mining waste total,Landfill,Disposal,1921,2021-12-31,08 C&I (mining)
Qld,Mining,,Mining waste total,Other disposal,Disposal,81749243,2021-12-31,08 C&I (mining)
Qld,Mining,,Mining waste total,Recycling,Recycling,685,2021-12-31,08 C&I (mining)
Qld,Mining,,Mining waste total,Unknown,Unknown,32,2021-12-31,08 C&I (mining)
Qld,Mining,,Mining waste total,Landfill,Disposal,1921,2021-12-31,09 Total
Qld,Mining,,Mining waste total,Other disposal,Disposal,81749243,2021-12-31,09 Total
Qld,Mining,,Mining waste total,Recycling,Recycling,685,2021-12-31,09 Total
Qld,Mining,,Mining waste total,Unknown,Unknown,32,2021-12-31,09 Total
Qld,Total,,All other waste total,Energy from waste facility,Energy recovery,7620,2021-12-31,02 C&D
Qld,Total,,All other waste total,Landfill,Disposal,518072,2021-12-31,02 C&D
Qld,Total,,All other waste total,Landfill,Energy recovery,5462,2021-12-31,02 C&D
Qld,Total,,All other waste total,Recycling,Recycling,2401617,2021-12-31,02 C&D
Qld,Total,,All other waste total,Waste reuse,Waste reuse,0,2021-12-31,02 C&D
Qld,Total,,All other waste total,Energy from waste facility,Energy recovery,16964,2021-12-31,03 C&I core
Qld,Total,,All other waste total,Landfill,Disposal,1431265,2021-12-31,03 C&I core
Qld,Total,,All other waste total,Landfill,Energy recovery,185115,2021-12-31,03 C&I core
Qld,Total,,All other waste total,Recycling,Recycling,1421509,2021-12-31,03 C&I core
Qld,Total,,All other waste total,Waste reuse,Waste reuse,0,2021-12-31,03 C&I core
Qld,Total,,All other waste total,Energy from waste facility,Energy recovery,4934,2021-12-31,01 MSW
Qld,Total,,All other waste total,Landfill,Disposal,1510481,2021-12-31,01 MSW
Qld,Total,,All other waste total,Landfill,Energy recovery,290882,2021-12-31,01 MSW
Qld,Total,,All other waste total,Recycling,Recycling,783474,2021-12-31,01 MSW
Qld,Total,,All other waste total,Waste reuse,Waste reuse,13414,2021-12-31,01 MSW
Qld,Total,,All other waste total,Energy from waste facility,Energy recovery,29518,2021-12-31,09 Total
Qld,Total,,All other waste total,Landfill,Disposal,3459818,2021-12-31,09 Total
Qld,Total,,All other waste total,Landfill,Energy recovery,481459,2021-12-31,09 Total
Qld,Total,,All other waste total,Recycling,Recycling,4606600,2021-12-31,09 Total
Qld,Total,,All other waste total,Waste reuse,Waste reuse,13414,2021-12-31,09 Total
SA,Ash,,Ash waste total,Other disposal,Long-term storage,0,2021-12-31,04 C&I (electricity generation)
SA,Ash,,Ash waste total,Recycling,Recycling,0,2021-12-31,04 C&I (electricity generation)
SA,Ash,,Ash waste total,Waste reuse,Waste reuse,0,2021-12-31,04 C&I (electricity generation)
SA,Ash,,Ash waste total,Other disposal,Long-term storage,0,2021-12-31,09 Total
SA,Ash,,Ash waste total,Recycling,Recycling,0,2021-12-31,09 Total
SA,Ash,,Ash waste total,Waste reuse,Waste reuse,0,2021-12-31,09 Total
SA,Biosolids,,Biosolids total,Other disposal,Disposal,1511,2021-12-31,03 C&I core
SA,Biosolids,,Biosolids total,Recycling,Recycling,149571,2021-12-31,03 C&I core
SA,Biosolids,,Biosolids total,Other disposal,Disposal,1511,2021-12-31,09 Total
SA,Biosolids,,Biosolids total,Recycling,Recycling,149571,2021-12-31,09 Total
SA,Hazardous wastes,,Hazwaste total,Energy from waste facility,Energy recovery,0,2021-12-31,02 C&D
SA,Hazardous wastes,,Hazwaste total,Landfill,Disposal,23614,2021-12-31,02 C&D
SA,Hazardous wastes,,Hazwaste total,Other disposal,Disposal,0,2021-12-31,02 C&D
SA,Hazardous wastes,,Hazwaste total,Recycling,Recycling,54938,2021-12-31,02 C&D
SA,Hazardous wastes,,Hazwaste total,Treatment,Disposal,22228,2021-12-31,02 C&D
SA,Hazardous wastes,,Hazwaste total,Treatment,Energy recovery,0,2021-12-31,02 C&D
SA,Hazardous wastes,,Hazwaste total,Treatment,Recycling,87176,2021-12-31,02 C&D
